"","id","total","valor_frete","data_ultimo_pedido","produtos","produtos_skus","categorias","utm_source","utm_campaign","tentativas_recuperação","momento_abandono","criado_em","atualizado_em","id_cliente"
"22",463909464,"168,9","19,9",NA,"BRINCO ARGOLA SOL E LUA","JRM3YWN95","Brincos",NA,NA,"4/4","Entrega","09/07/2024 20:25:23","09/07/2024 20:30:14","69ae2c2675"
"23",463876560,"168,9","19,9",NA,"BRINCO ARGOLA SOL E LUA","JRM3YWN95","Brincos",NA,NA,"4/4","Entrega","09/07/2024 18:15:51","09/07/2024 18:23:16","69ae2c2675"
"24",463694415,"497,9","19,9",NA,"BRACELETE RÍGIDO 17,CHARM PROTEÇÃO","HAXVW6J28,JWDBL2NB2","Braceletes,Charms","SMS","Email Carrinho Abandonado 2","1/4","Entrega","09/07/2024 01:15:45","10/07/2024 10:27:38","ad163af166"
"25",462496769,"393,9","19,9",NA,"BRINCO DE ARGOLA PINGENTE CORAÇÃO,BRINCO LIVRE PARA AMAR PEQUENO,CHARM O SIGNATURE,PINGENTE LIFE INFINITO FOREVER","LSRE3YWF5,HL3J67375,DAGRBZZ8K,84WFBE5GN","Brincos,Charms",NA,NA,"4/4","Entrega","04/07/2024 00:11:18","04/07/2024 01:19:00","27de1211b1"
"26",462359151,"518,9","19,9",NA,"BRACELETE AJUSTÁVEL O SIGNATURE","M7ZQ5L9JL","Braceletes",NA,NA,"0/4","Entrega","03/07/2024 12:46:04","01/08/2024 22:34:22","506918b741"
"27",462026213,"116,9","19,9",NA,"BRINCO PEQUENO SIGNATURE","74F6CQWEW","Brincos","SMS","Carrinho Abandonado 1","4/4","Entrega","02/07/2024 00:01:19","02/07/2024 00:36:10","ec09360cfc"
"28",461907092,"467","0",NA,"PINGENTE LIFE INFINITO FOREVER,CHARM DIMOND,BRACELETE RÍGIDO 18","84WFBE5GN,F8ZW4347R,6XY5VVVRE","Charms,Braceletes","SMS","Carrinho Abandonado 1","4/4","Dados Pessoais","01/07/2024 14:42:24","01/07/2024 15:28:08","9d68f9c24c"
"29",461374711,"140,9","19,9",NA,"BRINCO CORAÇÕES","PPW5U8MVC","Brincos",NA,NA,"4/4","Entrega","29/06/2024 09:24:00","29/06/2024 09:27:07","ca7eca6d58"
"30",460992121,"405,9","19,9",NA,"BRINCO QUADRADO CRAVEJADO,BRINCO DE ARGOLA PINGENTE CORAÇÃO,BRINCO LIVRE PARA AMAR PEQUENO","P7HXNQNUN,LSRE3YWF5,HL3J67375","Brincos","SMS","Carrinho Abandonado 1","4/4","Entrega","27/06/2024 10:25:57","27/06/2024 11:00:18","28ca4cde44"
"31",460924842,"269,9","19,9",NA,"BRINCO PINGENTE SIGNATURE,BRINCO PEQUENO SIGNATURE","TMXCUUW38,74F6CQWEW","Brincos",NA,NA,"4/4","Entrega","26/06/2024 22:44:57","26/06/2024 23:01:49","b62801f82f"
"32",460785215,"140,9","19,9",NA,"BRINCO CORAÇÕES","PPW5U8MVC","Brincos",NA,NA,"4/4","Entrega","26/06/2024 10:42:34","26/06/2024 10:43:21","ac9e9fee38"
"33",460386813,"478,9","19,9",NA,"BRINCO QUADRADO CRAVEJADO,CHARM O SIGNATURE,BRINCO DE ARGOLA PINGENTE CORAÇÃO","P7HXNQNUN,DAGRBZZ8K,LSRE3YWF5","Brincos,Charms",NA,NA,"0/4","Entrega","24/06/2024 16:15:04","19/07/2024 22:25:12","a01aae65a5"
